cashflow_date,cashflow,cashflow_date_in_years,corresponding_zero_rate,cusip,cashflow_amount
2023-11-28,4.5,0.18904109589041096,0.055673150684931505,01609WAJ1,20632.365734014926
2024-05-28,4.5,0.6876712328767123,0.054949863013698634,01609WAJ1,20632.365734014926
2024-11-28,4.5,1.1917808219178083,0.05402876712328767,01609WAJ1,20632.365734014926
2025-05-28,4.5,1.6876712328767123,0.05229315068493151,01609WAJ1,20632.365734014926
2025-11-28,4.5,2.191780821917808,0.05062465753424658,01609WAJ1,20632.365734014926
2026-05-28,4.5,2.6876712328767125,0.04913698630136987,01609WAJ1,20632.365734014926
2026-11-28,4.5,3.191780821917808,0.047912328767123286,01609WAJ1,20632.365734014926
2027-05-28,4.5,3.6876712328767125,0.04716849315068493,01609WAJ1,20632.365734014926
2027-11-28,4.5,4.191780821917808,0.046412328767123284,01609WAJ1,20632.365734014926
2028-05-28,4.5,4.69041095890411,0.04566438356164383,01609WAJ1,20632.365734014926
2028-11-28,4.5,5.1945205479452055,0.04514164383561644,01609WAJ1,20632.365734014926
2029-05-28,4.5,5.69041095890411,0.044992876712328767,01609WAJ1,20632.365734014926
2029-11-28,4.5,6.1945205479452055,0.04484164383561644,01609WAJ1,20632.365734014926
2030-05-28,4.5,6.69041095890411,0.04469287671232877,01609WAJ1,20632.365734014926
2030-11-28,4.5,7.1945205479452055,0.04452867579908675,01609WAJ1,20632.365734014926
2031-05-28,4.5,7.69041095890411,0.04434684931506849,01609WAJ1,20632.365734014926
2031-11-28,4.5,8.194520547945206,0.04416200913242009,01609WAJ1,20632.365734014926
2032-05-28,4.5,8.693150684931506,0.043979178082191775,01609WAJ1,20632.365734014926
2032-11-28,4.5,9.197260273972603,0.04379433789954337,01609WAJ1,20632.365734014926
2033-05-28,4.5,9.693150684931506,0.043612511415525114,01609WAJ1,20632.365734014926
2033-11-28,4.5,10.197260273972603,0.04354339726027397,01609WAJ1,20632.365734014926
2034-05-28,4.5,10.693150684931506,0.04365249315068492,01609WAJ1,20632.365734014926
2034-11-28,4.5,11.197260273972603,0.04376339726027397,01609WAJ1,20632.365734014926
2034-11-28,100.0,11.197260273972603,0.04376339726027397,01609WAJ1,458497.0163114428
2024-02-09,3.45,0.38904109589041097,0.055765753424657526,037833BA7,5989.8166456452345
2024-08-09,3.45,0.8876712328767123,0.05478986301369863,037833BA7,5989.8166456452345
2025-02-09,3.45,1.3917808219178083,0.05332876712328767,037833BA7,5989.8166456452345
2025-08-09,3.45,1.8876712328767122,0.051593150684931505,037833BA7,5989.8166456452345
2026-02-09,3.45,2.3917808219178083,0.05002465753424658,037833BA7,5989.8166456452345
2026-08-09,3.45,2.8876712328767122,0.048536986301369864,037833BA7,5989.8166456452345
2027-02-09,3.45,3.3917808219178083,0.047612328767123284,037833BA7,5989.8166456452345
2027-08-09,3.45,3.8876712328767122,0.046868493150684934,037833BA7,5989.8166456452345
2028-02-09,3.45,4.391780821917808,0.04611232876712329,037833BA7,5989.8166456452345
2028-08-09,3.45,4.890410958904109,0.04536438356164384,037833BA7,5989.8166456452345
2029-02-09,3.45,5.394520547945206,0.04508164383561644,037833BA7,5989.8166456452345
2029-08-09,3.45,5.890410958904109,0.04493287671232876,037833BA7,5989.8166456452345
2030-02-09,3.45,6.394520547945206,0.04478164383561644,037833BA7,5989.8166456452345
2030-08-09,3.45,6.890410958904109,0.04463287671232877,037833BA7,5989.8166456452345
2031-02-09,3.45,7.394520547945206,0.044455342465753424,037833BA7,5989.8166456452345
2031-08-09,3.45,7.890410958904109,0.04427351598173515,037833BA7,5989.8166456452345
2032-02-09,3.45,8.394520547945206,0.04408867579908676,037833BA7,5989.8166456452345
2032-08-09,3.45,8.893150684931507,0.04390584474885845,037833BA7,5989.8166456452345
2033-02-09,3.45,9.397260273972602,0.043721004566210045,037833BA7,5989.8166456452345
2033-08-09,3.45,9.893150684931507,0.04353917808219178,037833BA7,5989.8166456452345
2034-02-09,3.45,10.397260273972602,0.04358739726027397,037833BA7,5989.8166456452345
2034-08-09,3.45,10.893150684931507,0.043696493150684926,037833BA7,5989.8166456452345
2035-02-09,3.45,11.397260273972602,0.04380739726027397,037833BA7,5989.8166456452345
2035-08-09,3.45,11.893150684931507,0.04391649315068493,037833BA7,5989.8166456452345
2036-02-09,3.45,12.397260273972602,0.04402739726027398,037833BA7,5989.8166456452345
2036-08-09,3.45,12.895890410958904,0.044137095890410954,037833BA7,5989.8166456452345
2037-02-09,3.45,13.4,0.044248,037833BA7,5989.8166456452345
2037-08-09,3.45,13.895890410958904,0.04435709589041096,037833BA7,5989.8166456452345
2038-02-09,3.45,14.4,0.044467999999999994,037833BA7,5989.8166456452345
2038-08-09,3.45,14.895890410958904,0.04457709589041096,037833BA7,5989.8166456452345
2039-02-09,3.45,15.4,0.044688,037833BA7,5989.8166456452345
2039-08-09,3.45,15.895890410958904,0.044797095890410955,037833BA7,5989.8166456452345
2040-02-09,3.45,16.4,0.044908000000000003,037833BA7,5989.8166456452345
2040-08-09,3.45,16.898630136986302,0.04501769863013699,037833BA7,5989.8166456452345
2041-02-09,3.45,17.4027397260274,0.04512860273972603,037833BA7,5989.8166456452345
2041-08-09,3.45,17.898630136986302,0.045237698630136984,037833BA7,5989.8166456452345
2042-02-09,3.45,18.4027397260274,0.045348602739726025,037833BA7,5989.8166456452345
2042-08-09,3.45,18.898630136986302,0.04545769863013699,037833BA7,5989.8166456452345
2043-02-09,3.45,19.4027397260274,0.04556860273972603,037833BA7,5989.8166456452345
2043-08-09,3.45,19.898630136986302,0.04567769863013699,037833BA7,5989.8166456452345
2044-02-09,3.45,20.4027397260274,0.045631534246575345,037833BA7,5989.8166456452345
2044-08-09,3.45,20.9013698630137,0.045546767123287674,037833BA7,5989.8166456452345
2045-02-09,3.45,21.405479452054795,0.04546106849315069,037833BA7,5989.8166456452345
2045-02-09,100.0,21.405479452054795,0.04546106849315069,037833BA7,173617.87378681838
2024-04-15,6.2,0.5698630136986301,0.0550441095890411,931142CM3,1388.9027184564773
2025-04-15,6.2,1.5698630136986302,0.052705479452054796,931142CM3,1388.9027184564773
2026-04-15,6.2,2.56986301369863,0.04949041095890411,931142CM3,1388.9027184564773
2027-04-15,6.2,3.56986301369863,0.04734520547945205,931142CM3,1388.9027184564773
2028-04-15,6.2,4.572602739726028,0.04584109589041095,931142CM3,1388.9027184564773
2029-04-15,6.2,5.572602739726028,0.04502821917808219,931142CM3,1388.9027184564773
2030-04-15,6.2,6.572602739726028,0.044728219178082194,931142CM3,1388.9027184564773
2031-04-15,6.2,7.572602739726028,0.044390045662100454,931142CM3,1388.9027184564773
2032-04-15,6.2,8.575342465753424,0.04402237442922374,931142CM3,1388.9027184564773
2033-04-15,6.2,9.575342465753424,0.043655707762557075,931142CM3,1388.9027184564773
2034-04-15,6.2,10.575342465753424,0.04362657534246575,931142CM3,1388.9027184564773
2035-04-15,6.2,11.575342465753424,0.04384657534246575,931142CM3,1388.9027184564773
2036-04-15,6.2,12.578082191780823,0.04406717808219178,931142CM3,1388.9027184564773
2037-04-15,6.2,13.578082191780823,0.04428717808219178,931142CM3,1388.9027184564773
2038-04-15,6.2,14.578082191780823,0.044507178082191776,931142CM3,1388.9027184564773
2038-04-15,100.0,14.578082191780823,0.044507178082191776,931142CM3,22401.656749298018
2024-02-15,3.875,0.4054794520547945,0.055667123287671226,912797HC4,14910.457493469929
2024-08-15,3.875,0.9041095890410958,0.05477671232876712,912797HC4,14910.457493469929
2025-02-15,3.875,1.4082191780821918,0.05327123287671233,912797HC4,14910.457493469929
2025-08-15,3.875,1.904109589041096,0.05153561643835616,912797HC4,14910.457493469929
2026-02-15,3.875,2.408219178082192,0.04997534246575343,912797HC4,14910.457493469929
2026-08-15,3.875,2.904109589041096,0.048487671232876714,912797HC4,14910.457493469929
2027-02-15,3.875,3.408219178082192,0.047587671232876716,912797HC4,14910.457493469929
2027-08-15,3.875,3.904109589041096,0.04684383561643836,912797HC4,14910.457493469929
2028-02-15,3.875,4.4082191780821915,0.046087671232876715,912797HC4,14910.457493469929
2028-08-15,3.875,4.906849315068493,0.045339726027397255,912797HC4,14910.457493469929
2029-02-15,3.875,5.410958904109589,0.04507671232876712,912797HC4,14910.457493469929
2029-08-15,3.875,5.906849315068493,0.04492794520547945,912797HC4,14910.457493469929
2030-02-15,3.875,6.410958904109589,0.04477671232876712,912797HC4,14910.457493469929
2030-08-15,3.875,6.906849315068493,0.044627945205479455,912797HC4,14910.457493469929
2031-02-15,3.875,7.410958904109589,0.04444931506849315,912797HC4,14910.457493469929
2031-08-15,3.875,7.906849315068493,0.04426748858447488,912797HC4,14910.457493469929
2032-02-15,3.875,8.41095890410959,0.04408264840182648,912797HC4,14910.457493469929
2032-08-15,3.875,8.90958904109589,0.04389981735159817,912797HC4,14910.457493469929
2033-02-15,3.875,9.413698630136986,0.04371497716894977,912797HC4,14910.457493469929
2033-08-15,3.875,9.90958904109589,0.0435331506849315,912797HC4,14910.457493469929
2033-08-15,100.0,9.90958904109589,0.0435331506849315,912797HC4,384785.999831482
2024-02-28,4.375,0.4410958904109589,0.055453424657534243,912797JA6,2461.681329069711
2024-08-28,4.375,0.9397260273972603,0.05474821917808219,912797JA6,2461.681329069711
2025-02-28,4.375,1.4438356164383561,0.05314657534246575,912797JA6,2461.681329069711
2025-08-28,4.375,1.9397260273972603,0.05141095890410959,912797JA6,2461.681329069711
2026-02-28,4.375,2.4438356164383563,0.04986849315068493,912797JA6,2461.681329069711
2026-08-28,4.375,2.9397260273972603,0.048380821917808216,912797JA6,2461.681329069711
2027-02-28,4.375,3.4438356164383563,0.04753424657534247,912797JA6,2461.681329069711
2027-08-28,4.375,3.9397260273972603,0.04679041095890411,912797JA6,2461.681329069711
2028-02-28,4.375,4.443835616438356,0.04603424657534246,912797JA6,2461.681329069711
2028-08-28,4.375,4.942465753424657,0.04528630136986301,912797JA6,2461.681329069711
2028-08-31,100.0,4.950684931506849,0.04527397260273972,912797JA6,56267.00180730768
